Date,GOOG
2019-06-03 04:00:00,
2019-06-04 04:00:00,52.65250015258789
2019-06-05 04:00:00,52.11100006103515
2019-06-06 04:00:00,52.21699905395508
2019-06-07 04:00:00,53.301998138427734
2019-06-10 04:00:00,54.01900100708008
2019-06-11 04:00:00,53.93600082397461
2019-06-12 04:00:00,53.85150146484375
2019-06-13 04:00:00,54.438499450683594
2019-06-14 04:00:00,54.26750183105469
2019-06-17 04:00:00,54.625
2019-06-18 04:00:00,55.18000030517578
2019-06-19 04:00:00,55.11650085449219
2019-06-20 04:00:00,55.57099914550781
2019-06-21 04:00:00,56.09400177001953
2019-06-24 04:00:00,55.7760009765625
2019-06-25 04:00:00,54.317501068115234
2019-06-26 04:00:00,53.9900016784668
2019-06-27 04:00:00,53.800498962402344
2019-06-28 04:00:00,54.045501708984375
2019-07-01 04:00:00,54.897499084472656
2019-07-02 04:00:00,55.5625
2019-07-03 04:00:00,56.07899856567383
2019-07-05 04:00:00,56.579498291015625
2019-07-08 04:00:00,55.817501068115234
2019-07-09 04:00:00,56.24150085449219
2019-07-10 04:00:00,57.02399826049805
2019-07-11 04:00:00,57.21049880981445
2019-07-12 04:00:00,57.244998931884766
2019-07-15 04:00:00,57.516998291015625
2019-07-16 04:00:00,57.67900085449219
2019-07-17 04:00:00,57.317501068115234
2019-07-18 04:00:00,57.31650161743164
2019-07-19 04:00:00,56.505001068115234
2019-07-22 04:00:00,56.90349960327149
2019-07-23 04:00:00,57.31050109863281
2019-07-24 04:00:00,56.890499114990234
2019-07-25 04:00:00,56.60599899291992
2019-07-26 04:00:00,62.52050018310547
2019-07-29 04:00:00,61.97050094604492
2019-07-30 04:00:00,61.25699996948242
2019-07-31 04:00:00,60.83399963378906
2019-08-01 04:00:00,60.45050048828125
2019-08-02 04:00:00,59.699501037597656
2019-08-05 04:00:00,57.61600112915039
2019-08-06 04:00:00,58.497501373291016
2019-08-07 04:00:00,58.699501037597656
2019-08-08 04:00:00,60.2400016784668
2019-08-09 04:00:00,59.4005012512207
2019-08-12 04:00:00,58.73550033569336
2019-08-13 04:00:00,59.86349868774414
2019-08-14 04:00:00,58.214500427246094
2019-08-15 04:00:00,58.362998962402344
2019-08-16 04:00:00,58.880001068115234
2019-08-19 04:00:00,59.92250061035156
2019-08-20 04:00:00,59.134498596191406
2019-08-21 04:00:00,59.5625
2019-08-22 04:00:00,59.47650146484375
2019-08-23 04:00:00,57.56449890136719
2019-08-26 04:00:00,58.44449996948242
2019-08-27 04:00:00,58.391998291015625
2019-08-28 04:00:00,58.55099868774414
2019-08-29 04:00:00,59.64250183105469
2019-08-30 04:00:00,59.404998779296875
2019-09-03 04:00:00,58.41949844360352
2019-09-04 04:00:00,59.070499420166016
2019-09-05 04:00:00,60.569000244140625
2019-09-06 04:00:00,60.24649810791016
2019-09-09 04:00:00,60.22050094604492
2019-09-10 04:00:00,60.29999923706055
2019-09-11 04:00:00,61.00849914550781
2019-09-12 04:00:00,61.712501525878906
2019-09-13 04:00:00,61.97800064086914
2019-09-16 04:00:00,61.564998626708984
2019-09-17 04:00:00,61.45750045776367
2019-09-18 04:00:00,61.62049865722656
2019-09-19 04:00:00,61.93550109863281
2019-09-20 04:00:00,61.49649810791016
2019-09-23 04:00:00,61.70149993896485
2019-09-24 04:00:00,60.9379997253418
2019-09-25 04:00:00,62.32600021362305
2019-09-26 04:00:00,62.06949996948242
2019-09-27 04:00:00,61.25450134277344
2019-09-30 04:00:00,60.95000076293945
2019-10-01 04:00:00,60.255001068115234
2019-10-02 04:00:00,58.83150100708008
2019-10-03 04:00:00,59.39149856567383
2019-10-04 04:00:00,60.45000076293945
2019-10-07 04:00:00,60.38399887084961
2019-10-08 04:00:00,59.45650100708008
2019-10-09 04:00:00,60.115501403808594
2019-10-10 04:00:00,60.43349838256836
2019-10-11 04:00:00,60.772499084472656
2019-10-14 04:00:00,60.85699844360352
2019-10-15 04:00:00,62.1505012512207
2019-10-16 04:00:00,62.18199920654297
2019-10-17 04:00:00,62.65349960327149
